Health Benefit Package - 2.0,Unnamed: 1,Unnamed: 2,Unnamed: 3
Specialty,"AB PM - JAY
Package Name","AB PM - JAY
Procedure Name",Procedure Price
Burns Management,Thermal burns,"% Total Body Surface Area Burns (TBSA) - any % (not requiring admission).
Needs at least 5-6 dressing","7,000"
Burns Management,Thermal burns,"% Total Body Surface Area Burns (TBSA): Upto 40
%; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that
are not amenable to heal with dressings alone.","40,000"
Burns Management,Thermal burns,"% Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","50,000"
Burns Management,Thermal burns,"% Total Body Surface Area Burns (TBSA): > 60 %; Includes % TBSA skin grafted, flap cover, follow- up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not
amenable to heal with dressings alone.","80,000"
Burns Management,Scald burns,"% Total Body Surface Area Burns (TBSA) - any % (not requiring admission).
Needs at least 5-6 dressing","7,000"
Burns Management,Scald burns,"% Total Body Surface Area Burns (TBSA): Upto 40
%; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","40,000"
Burns Management,Scald burns,"% Total Body Surface Area Burns (TBSA): 40% - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that
are not amenable to heal with dressings alone.","50,000"
Burns Management,Scald burns,"% Total Body Surface Area Burns (TBSA): >  60
%; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","80,000"
Burns Management,Flame burns,"% Total Body Surface Area Burns (TBSA) - any % (not requiring admission).
Needs at least 5-6 dressing","7,000"
Burns Management,Flame burns,"% Total Body Surface Area Burns (TBSA): Upto 40
%; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","40,000"
Burns Management,Flame burns,"% Total Body Surface Area Burns (TBSA): 40 % - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","50,000"
Burns Management,Flame burns,"% Total Body Surface Area Burns (TBSA): >  60
%; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","80,000"
Burns Management,Electrical contact burns,"Electrical contact burns: Low voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","30,000"
Burns Management,Electrical contact burns,"Electrical contact burns: Low voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings
alone.","40,000"
Burns Management,Electrical contact burns,"Electrical contact burns: High voltage - with part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","60,000"
Burns Management,Electrical contact burns,"Electrical contact burns: High voltage - without part of limb / limb loss; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings
alone.","50,000"
Burns Management,Chemical burns,"Chemical burns: Without significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","40,000"
Burns Management,Chemical burns,"Chemical burns: With significant facial scarring and/or loss of function; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.","60,000"
Burns Management,Post Burn Contracture surgeries for Functional Improvement,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Excluding Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) / Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post - operative regular dressings
for STSG / FTSG / Flap cover.","50,000"
Burns Management,Post Burn Contracture surgeries for Functional Improvement,"Post Burn Contracture surgeries for Functional Improvement (Package including splints, pressure garments, silicone - gel sheet and physiotherapy): Neck contracture; Contracture release with - Split thickness Skin Graft (STSG) /
Full Thickness Skin Graft (FTSG) / Flap cover is done for each joint with post-operative regular
dressings for STSG / FTSG / Flap cover.","50,000"
Emergency,Laceration - Suturing / Dressing,Laceration - Suturing / Dressing,"2,000"
Emergency,Cardiopulmonary emergency,Emergency with stable cardiopulmonary status,"2,000"
Emergency,Cardiopulmonary emergency,Emergency with unstable cardiopulmonary status with resuccitation,"10,000"
Emergency,Animal bites (Excluding Snake Bite),Animal bites (Excluding Snake Bite),"1,700"
"Interventional
Neuroradiology",Dural AVMs / AVFs,Dural AVMs (per sitting) with glue,"70,000"
"Interventional
Neuroradiology",Dural AVMs / AVFs,Dural AVFs (per sitting) with glue,"70,000"
Interventional Neuroradiology,Dural AVMs / AVFs,Dural AVMs (per sitting) with onyx,"150,000"
Interventional Neuroradiology,Dural AVMs / AVFs,Dural AVFs (per sitting) with onyx,"150,000"
"Interventional
Neuroradiology","Cerebral & Spinal AVM embolization - Using
Histoacryl (per sitting)","Cerebral AVM embolization - Using Histoacryl
(per sitting)","100,000"
"Interventional
Neuroradiology","Cerebral & Spinal AVM embolization - Using
Histoacryl (per sitting)","Spinal AVM embolization - Using Histoacryl
(per sitting)","100,000"
Interventional Neuroradiology,"Coil embolization for aneurysms
(includes cost of first 3 coils + balloon and / or stent if used)","Coil embolization for aneurysms
(includes cost of first 3 coils + balloon and / or stent if used)","100,000"
Interventional Neuroradiology,Carotico-cavernous Fistula (CCF) embolization,"Carotico-cavernous Fistula (CCF) embolization with coils.
[includes 5 coils, guide catheter, micro-catheter,
micro-guidewire, general items]","30,000"
Interventional Neuroradiology,Carotico-cavernous Fistula (CCF) embolization,"Carotid-cavernous Fistula (CCF) embolization with balloon
(includes one balloon, guide catheter, micro-
catheter, micro-guidewire, general items)","64,000"
Interventional Neuroradiology,Pre-operative tumour embolization (per session),Pre-operative tumour embolization (per session),"40,000"
"Interventional
Neuroradiology",Intracranial balloon angioplasty with stenting,Intracranial balloon angioplasty with stenting,"160,000"
"Interventional
Neuroradiology",Intracranial thrombolysis / clot retrieval,Intracranial thrombolysis / clot retrieval,"160,000"
Interventional Neuroradiology,Balloon test occlusion,Balloon test occlusion,"70,000"
Interventional Neuroradiology,Parent vessel occlusion - Basic,Parent vessel occlusion - Basic,"30,000"
"Interventional
Neuroradiology",Vertebroplasty,Vertebroplasty,"40,000"
Cardiology,Right / Left Heart Catheterization,Right Heart Catheterization,"5,000"
Cardiology,Right / Left Heart Catheterization,Left Heart Catheterization,"5,000"
"Cardiology, Interventional Radiology",Catheter directed Thrombolysis,For Deep vein thrombosis (DVT),"30,800"
"Cardiology, Interventional Radiology",Catheter directed Thrombolysis,For Mesenteric Thrombosis,"30,800"
"Cardiology, Interventional
Radiology",Catheter directed Thrombolysis,For Peripheral vessels,"30,800"
Cardiology,Balloon Dilatation,Coartication of Aorta,"38,600"
Cardiology,Balloon Dilatation,Pulmonary Artrey Stenosis,"38,600"
Cardiology,Balloon Pulmonary / Aortic Valvotomy,Balloon Pulmonary Valvotomy,"23,400"
Cardiology,Balloon Pulmonary / Aortic Valvotomy,Balloon Aortic Valvotomy,"23,400"
Cardiology,Balloon Mitral Valvotomy,Balloon Mitral Valvotomy,"35,700"
Cardiology,Balloon Atrial Septostomy,Balloon Atrial Septostomy,"24,400"
Cardiology,ASD Device Closure,ASD Device Closure,"36,900"
Cardiology,VSD Device Closure,VSD Device Closure,"37,900"
Cardiology,PDA Device Closure,PDA Device Closure,"25,000"
Cardiology,PDA stenting,PDA stenting,"40,260"
Cardiology,"PTCA, inclusive of diagnostic angiogram","PTCA, inclusive of diagnostic angiogram","40,600"
Cardiology,Electrophysiological Study,Electrophysiological Study,"20,000"
Cardiology,Electrophysiological Study,Electrophysiological Study with Radio Frequency Ablation,"20,000"
Cardiology,"Percutaneous Transluminal Septal Myocardial
Ablation","Percutaneous Transluminal Septal Myocardial
Ablation","34,000"
"Cardiology, CTVS",Temporary Pacemaker implantation,Temporary Pacemaker implantation,"19,200"
"Cardiology, CTVS","Single Chamber Permanent Pacemaker
Implantation","Permanent Pacemaker Implantation -
Single Chamber","24,500"
"Cardiology, CTVS",Double Chamber Permanent Pacemaker Implantation,Permanent Pacemaker Implantation - Double Chamber,"33,000"
Cardiology,Peripheral Angioplasty,Peripheral Angioplasty,"34,500"
Cardiology,"Bronchial artery Embolisation
(for Haemoptysis)","Bronchial artery Embolisation
(for Haemoptysis)","32,800"
"Cardiology,
General Surgery",Pericardiocentesis,Pericardiocentesis,"12,100"
Cardiology,Systemic Thrombolysis (for MI),Systemic Thrombolysis (for MI),"17,900"
"General Medicine, Pediatric Medical Management",Acute febrile illness,Acute febrile illness,"1,800"
"General Medicine, Pediatric
Medical Management",Severe sepsis,Severe sepsis,"1,800"
"General Medicine, Pediatric
Medical Management",Severe sepsis,Septic shock,"1,800"
"General Medicine, Pediatric
Medical Management",Malaria,Malaria,"1,800"
"General Medicine, Pediatric Medical Management",Malaria,Complicated malaria,"1,800"
"General Medicine, Pediatric
Medical Management",Dengue fever,Dengue fever,"1,800"
